Topic,Count,Name,Representation,Representative_Docs
41,34,41_prison_olenivka_olenivka prison_prisoners,"['prison', 'olenivka', 'olenivka prison', 'prisoners', 'access', 'ukrainian prisoners', 'denied', 'committee red', 'permission', 'cross access']","[""Red Cross says no permission yet to visit Olenivka prison. #Russia said it had invited the Red Cross and the UN to visit a prison where dozens of prisoners of war died. Meanwhile, #Ukraine's president ordered residents to leave the eastern Donetsk region."", 'Russia denied the International Committee of the Red Cross access to Ukrainian prisoners of war, held in the penal colony in #Olenivka, despite the Geneva Convention in force. #StopRussia #StandWithUkraine #StopRussianAggression #RussiaIsATerroristState', '“Russia denied the International Committee of the Red Cross access to Ukrainian prisoners of war, held in the penal colony in #Olenivka, despite the Geneva Convention in force. #StopRussia #StandWithUkraine #StopRussianAggression #RussiaIsATerroristState”']"
42,33,42_donate icrc_icrc_donate_ukraine consider,"['donate icrc', 'icrc', 'donate', 'ukraine consider', 'bias', 'consider donation', 'want save', 'russianwarcrimes want', 'amnesty', 'hrw']","['Do NOT donate to or #ICRC is totally corrupt and bias organisation #hrw and #Amnesty are monetizing #Ukraine conflict doing nothing but justifying #RussianWarCrimes If you want to save lives in Ukraine consider donation to foundation', 'Do NOT donate to or #ICRC is totally corrupt and bias organisation #hrw and #Amnesty are monetizing #Ukraine conflict while doung nothing but justifying #RussianWarCrimes If you want to save lives in Ukraine consider donation to foundation', 'Do NOT donate to or #ICRC is totally corrupt and bias organization. #hrw and #Amnesty are monetizing #Ukraine conflict while doung nothing but justifying #RussianWarCrimes If you want to save lives in Ukraine, consider donation to foundation']"
43,33,43_besieged_besieged port_city_port,"['besieged', 'besieged port', 'city', 'port', 'convoy', 'evacuate civilians', 'civilians besieged', 'southeast', 'cross convoy', 'try evacuate']","['A Red Cross convoy heading to #Mariupol will try again to evacuate civilians from the besieged port as Russian forces looked to be regrouping for new attacks in the southeast. #UkraineRussiaWar Read full story:', 'A Red Cross convoy travelling to the Ukrainian city of #Mariupol will try again to evacuate civilians from the besieged port on Saturday as #Russian forces looked to be regrouping for new attacks in the southeast.', 'A Red Cross convoy heading to #Mariupol will try again to evacuate civilians from the besieged port as Russian forces looked to be regrouping for new attacks in the southeast.']"
44,33,44_batch_china_cross society_society,"['batch', 'china', 'cross society', 'society', 'society china', 'beijing', 'chinese', 'yuan', 'necessities', 'including food']","['The Red Cross Society of #China, upon request, will provide the #Ukrainian Red Cross with 5 million yuan worth of humanitarian aid, including food and daily necessities. The first batch of aid supplies left Beijing on Wed: Chinese FM', 'The Red Cross Society of China will provide to the #Ukrainian Red Cross Society a batch of humanitarian assistance worth 5mln yuan consisting of food, daily necessities &amp; other supplies. The first shipment left Beijing on March 9.', 'At the request of #Ukraine, the Red Cross Society of China will provide a batch of humanitarian aid supplies, including food and daily necessities, worth 5 million yuan ($791,000) to Ukraine. The first batch of supplies has left Beijing on March 9.']"
45,31,45_buchamassacre_bucha_genocide_hate,"['buchamassacre', 'bucha', 'genocide', 'hate', 'committed', 'forgive forget', 'schools', 'saw', 'forgive', 'women']","['#BuchaMassacre and would you even care to comment on the barbaric actions of russians? What about the massive massacre in Bucha (and several other cities)? Still no words?', 'Citizens murdered by the #Russian Army in #BuchaMassacre. You came to target children, women, schools, and hospitals. Even the Red Cross was targeted by #Russia. We will not forgive or forget. #RussianWarCrimesInUkraine', 'The #Russian Army committed many war crimes in the #BuchaMassacre. #Russia targets children, women, schools, the Red Cross, and hospitals. We will not forgive or forget #RussianWarCrimesInUkraine #Anonymous']"
46,30,46_demand icrc_icrc immediately_immediately respond_respond terrorist,"['demand icrc', 'icrc immediately', 'immediately respond', 'respond terrorist', 'act committed', 'russia olenivka', 'olenivka responsible', 'committed russia', 'responsible lives', 'terrorist act']","['We demand the UN and the ICRC immediately respond to the terrorist act committed by russia in Olenivka. You’re responsible for their lives!#russiaisaterrorisstate', 'We demand the UN and the ICRC immediately respond to the terrorist act committed by russia in #Olenivka. You’re responsible for their lives! #russiaisaterrorisstate', 'We demand the UN and the ICRC immediately respond to the terrorist act committed by russia in Olenivka. You’re responsible for their lives!']"
47,29,47_attempts_mariupol_vereshchuk_occupying,"['attempts', 'mariupol', 'vereshchuk', 'occupying', 'stay silent', 'mariupol needs', 'deadly', 'international organizations', 'civilians', 'happen']","['Vereshchuk: Invaders thwart all attempts to get to Mariupol The invaders thwart all attempts made by the Ukrainian authorities and international organizations, including the ICRC, to get to Mariupol. #UkraineRussiaWar #UkraineInvasion', 'Iryna Vereshchuk: “Every day we try to break into the city of #Mariupol, but the occupying forces and their leadership in the russian federation are blocking all our attempts and the efforts of international organizations, including the ” Source:', '⚡️Iryna Vereshchuk: “Every day we try to break into the city of #Mariupol, but the occupying forces and their leadership in the russian federation are blocking all our attempts and the efforts of international organizations, including the ” #StopRussia']"
48,29,48_savemariupol_saveazovstal_save_azovstal,"['savemariupol', 'saveazovstal', 'save', 'azovstal', 'heroes', 'saveazovstal help', 'azovstai', 'saveazovstaldefenders', 'heroes azovstal', 'save azovstal']","['The Azov soldiers are heroes. I am thinking of them and the civilians with them and ask to arrange evacuation or prisoner exchange. #SaveMariupol #SaveAzovstal.', ""We can't wait any longer, help us evacuate our heroes from #Azovstal! Anyone who can help and instead just watches - becomes an accomplice. #SaveAzovstalDefenders"", '#SaveAzovstal Anyone who can help and instead just watches - becomes an accomplice. Save our #Azovstal heroes!']"
49,29,49_attention ukraine_fail_focuses_lc,"['attention ukraine', 'fail', 'focuses', 'lc', 'amp continues', 'ayder hospital', 'care supply', 'allowaccesstotigray', 'ayder', 'tigrayunderattack']","['🚨Yet,the lC focuses all their attention on #Ukraine &amp; continues to fail Tigray for over 2 years . #Ayder Hospital in #Tigray calls for urgent life-saving health care supply. #AllowAccessToTigray #TigrayUnderAttack', 'Yet the lC focuses all their attention on #Ukraine &amp; continues to fail Tigray for over 2 years #Ayder Hospital in #Tigray calls for urgent life-saving health care supply #AllowAccessToTigray #TigrayUnderAttack', '🚨Yet, the lC focuses all their attention on #Ukraine &amp; continues to fail Tigray for over 2 years . #Ayder Hospital in #Tigray calls for urgent life-saving health care supply. #AllowAccessToTigray #TigrayUnderAttack h']"
50,28,50_nuclear_nuclear power_power_zaporizhzhia,"['nuclear', 'nuclear power', 'power', 'zaporizhzhia', 'npp', 'power plant', 'disaster', 'zaporizhzhia region', 'russiaisaterroriststate', 'plant']","['russia: captured and mined power units on the biggest nuclear power plant in Europe to intimidate rest of world with nuclear terrorism icrc next day: all states must join the nuclear ban treaty 🤡🤡🤡 #RussiaIsATerroristState', 'The danger of a global nuclear disaster at the Zaporizhzhya nuclear power plant that will affect all of Europe is caused by Russia. ‼️ Who should take control of the situation? #RussiaIsATerroristState', 'It’s heartbreaking 💔😩 Today the danger of a global nuclear disaster at the Zaporizhzhya nuclear power plant that will affect all of a world is caused by Russia. please take control of the situation. We must stop terrorism together. ❕#StopRussianAggression']"
51,28,51_moldova_eurovision_mda_mda eurovision,"['moldova', 'eurovision', 'mda', 'mda eurovision', 'moldova mda', 'eurovision mda', 'entry', 'esc2022', 'eurovision esc2022', 'eurovision eurovision']","['Eurovision has arrived!!!! #MDA #Eurovision #Moldova', 'What is this? #Moldova #mda #Eurovision', 'Me during Moldova already!! #Moldova #MDA #Eurovision']"
52,27,52_video_glory ukraine_glory_saw video,"['video', 'glory ukraine', 'glory', 'saw video', 'prisoner', 'ukrainian prisoner', 'shot', 'social', 'pow', 'social media']","['Yesterday, the whole world saw a video of the russians shooting a Ukrainian POW after he saying ""Glory to Ukraine"". Another war crime by russian barbarians, which this time was captured on video. #russiaisATerroristState 1/3', 'Most likely, yesterday you saw a video showing a Ukrainian prisoner of war being shot dead after he said ""Glory to Ukraine."" This is not the only case, rashists systematically commit war crimes. We demand that the perpetrators be brought to justice. #RussianWarCrimes', 'Yesterday there was a video circulated on social media showing a Ukrainian prisoner of war shot after saying ""Glory to Ukraine"". We have no right to allow terrorists and criminals to go unpunished. #russiaisaterroriststate']"
53,27,53_donate_urcs_ukraine donate_donating,"['donate', 'urcs', 'ukraine donate', 'donating', 'consider', 'donate ukraine', 'interested', 'charities', 'appeal', 'helpforukraine']","['We’re joining our friends at to show support for #Ukraine by donating to the UiPath Foundation. Donations will benefit the work of the Red Cross Ukraine and Red Cross Romania. Those interested in donating can visit:', 'Donate to support the Ukrainian Red Cross and its work to help civilians in this difficult time for Ukraine! You can donate on ✅ URCS website: ✅ iRaiser platform: 📢 Please share! #SupportUkraine #Ukraine #URCS #DonateUkraine', 'Donate to support the Ukrainian Red Cross and its work to help civilians in this difficult time for Ukraine! You can donate on ✅ URCS website: 📢 Please share! #SupportUkraine #Ukraine #URCS #DonateUkraine']"
54,27,54_china_foreign minister_china red_minister,"['china', 'foreign minister', 'china red', 'minister', 'cross provide', 'foreign', 'provide', 'aid ukraine', 'soon', 'soon possible']","['""China\'s Red Cross will provide humanitarian aid to Ukraine ""as soon as possible,"" Foreign Minister Wang Yi said, as he praised his country\'s friendship with Russia as ""rock solid""."" #China #Ukraine #HumanitarianAid', '#China’s Red Cross will provide humanitarian aid to #Ukraine “as soon as possible”, Foreign Minister Wang Yi said, as he praised his country’s friendship with #Russia as “rock solid”.', '#China\'s Red Cross will provide humanitarian aid to #Ukraine ""as soon as possible"", Foreign Minister Wang Yi said, as he praised his country\'s friendship with #Russia as ""rock solid"".']"
55,27,55_gaza_palestine_red crescent_crescent,"['gaza', 'palestine', 'red crescent', 'crescent', 'israel', 'crescent society', 'hostilities', 'israeli', 'fuel', 'warcrime']","['We are concerned of the impacts of the escalation of hostilities in #Gaza on the local population. Gaza is already facing fuel &amp; food shortages due to a continued blockade, restricting our ability to mobilise humanitarian assistance. ready to support', 'Egyptian Red Crescent prepares batch of relief and medical aid to be sent to Gaza Strip #Egypt #GazaUnderAttack #Gaza #Israel #Palestine_Under_Attack #Palestine #IsraeliCrimes', 'The Egyptian Red Crescent announces maximum emergency to send humanitarian aid to Gaza strip as it suffers under Israeli aggression. #Gaza #GazaUnderAttack #Palestine #Israel | #مصر #غزة #غزة_تحت_القصف']"
56,26,56_istandwithukraine_saveukraine amp_amp istandwithukraine_design saveukraine,"['istandwithukraine', 'saveukraine amp', 'amp istandwithukraine', 'design saveukraine', 'istandwithukraine profits', 'special design', 'profits sale', 'design', 'profits', 'saveukraine']","['I made a special design #SaveUkraine &amp; #IStandWithUkraine Profits from the sale of these hats will be channeled through an international organization for people affected by the war - #UKRAINE CRISIS \u2066 \u2069', 'I made a special design #SaveUkraine &amp; #IStandWithUkraine Profits from the sale of these hats will be channeled through an international organization for people affected by the war - #UKRAINE CRISIS', 'I made a special design #SaveUkraine &amp; #IStandWithUkraine Profits from the sale of these hats will be channeled through an international organization for people affected by the war - #UKRAINE CRISIS Cap']"
57,26,57_steel plant_steel_plant_trapped,"['steel plant', 'steel', 'plant', 'trapped', 'citizens', 'plz', 'live azovstal', 'remain trapped', 'factory', 'azovstal steel']","['Plz Citizens can still live around the #azovstal steel plant and children help them too Citizens can remain trapped in the factory around the steel plant and check once and everywhere around the steel plant, someone will be trapped please send this Ukrain red Cross', 'Plz Citizens can still live around the #azovstal steel plant and children help them too Citizens can remain trapped in the factory around the steel plant, and check once and everywhere around the steel plant,someone will be trapped please send this Ukrain red Cross', 'Plz Citizens can still live around the #azovstal steel plant and children help them too Citizens can remain trapped in the factory around the steel plant,and check once and everywhere around the steel plant, someone will be trapped please send this Ukrain red Cross']"
58,25,58_hospital_ayder_referral_referral hospital,"['hospital', 'ayder', 'referral', 'referral hospital', 'ayder referral', 'tigray region', 'largest', 'tigray', 'tigrayunderattack stopwarontigray', 'stopwarontigray']","['The largest hospital in the Tigray region, Ayder referral hospital, is calling for an urgent lifesaving diabetes health care supply. #TigrayUnderAttack #StopWarOnTigray ….', 'The largest hospital in the Tigray region, Ayder referral hospital, is calling for an urgent lifesaving diabetes health care supply. ➡️#TigrayUnderAttack ➡️#StopWarOnTigray', 'The largest hospital in the Tigray region, Ayder referral hospital, is calling for an urgent lifesaving diabetes health care supply. #TigrayUnderAttack #StopWarOnTigray']"
59,24,59_ukrainian red_branch uzhhorod_unofficial_version,"['ukrainian red', 'branch uzhhorod', 'unofficial', 'version', 'cross branch', 'mentalhealth', 'uzhhorod', 'provides', 'volunteer', 'branch']","['ifrc RT : Khrystina has become the unofficial mascot of the Ukrainian Red Cross branch in Uzhhorod. A stray puppy, she befriended the volunteer team and now provides her own version of psychosocial support. #Ukraine #mentalhealth #animaltherapy …', 'Khrystina has become the unofficial mascot of the Ukrainian Red Cross branch in Uzhhorod. A stray puppy, she befriended the volunteer team and now provides her own version of psychosocial support. #Ukraine #mentalhealth #animaltherapy', ': RT : Khrystina has become the unofficial mascot of the Ukrainian Red Cross branch in Uzhhorod. A stray puppy, she befriended the volunteer team and now provides her own version of psychosocial support. #Ukraine #mentalhealth …']"
60,24,60_diaspora_icrc_civilians mariupol_evacuation civilians,"['diaspora', 'icrc', 'civilians mariupol', 'evacuation civilians', 'safe passage', 'passage', 'civilians', 'mariupol', 'evacuation', 'confirms']","['To the ICRC President, I emphasised the need to provide humanitarian aid to #Mariupol, home to a large part of the 🇬🇷 Diaspora, expressing the hope that the evacuation of civilians, including 🇬🇷 Diaspora members, will be made possible. #Greece stands ready to assist the evacuees.', '#BREAKING: confirms it’s started process to evacuate civilians from Mariupol #Ukraine. “The ICRC confirms that a safe passage operation is ongoing, in coordination with the UN and the parties to the conflict,"" a spokesman said, adding no further details until later', 'Michael Bociurkiw · 34m #BREAKING: confirms it’s started process to evacuate civilians from Mariupol #Ukraine. “The ICRC confirms that a safe passage operation is ongoing, in coordination with the UN and the parties to the conflict,"" ....']"
61,24,61_sunflower_sunflowers_seeds_sales,"['sunflower', 'sunflowers', 'seeds', 'sales', 'cards', 'irish', 'appeal', 'sunflowersforukraine', 'irish red', 'prints']","['Full details on fb &amp; Instagram. A beautiful sunflower 🌻 in the Ukrainian 🇺🇦 flag colours. This purchase has all profit going to the Red Cross charity. My unique sunflower designs &amp; I thought it fitting with the sunflower being Ukraines flower 🌻 #SlavaUkraini 🇺🇦🕊️', ""Our friends from the Sow Now initiative are on the stand with us at Bloom all weekend. 💙💛 Pop along and buy a packet of sunflower seeds (sunflower is the national flower of Ukraine) to support the Irish Red Cross's Ukraine response. #SowForUkraine #IrishRedCross #Ukraine"", 'The sunflower is the national flower of Ukraine 🌻 It is now possible to add a sunflower to your order for €5. All proceeds from sunflowers sales will be donated to the Irish Red Cross’s Ukraine appeal 🇺🇦 #ukraine #sunflower']"
62,24,62_emblem_use_vehicles_humanitarian mission,"['emblem', 'use', 'vehicles', 'humanitarian mission', 'influential', 'symbol', 'revealing', 'humanitarian vehicles', 'zelensky international', 'zelensky']","['⚡️Zelensky: ""International Committee of the Red Cross is forbidding us to use their emblem on the humanitarian mission vehicles. It\'s very revealing. Some influential people would rather \'cross out\' Ukraine."" #UkraineRussianWar #Ukraine️ #Russia #RussianUkrainianWar', '📡📡Zelensky: ""International Committee of the Red Cross is forbidding us to use their emblem on the humanitarian mission vehicles. It\'s very revealing. Some influential people would rather \'cross out\' Ukraine."" #NEWS #UKRAINE #slavaUkraina', '⚡️#Zelensky: ""International Committee of the Red Cross is forbidding us to use their emblem on the humanitarian mission vehicles. It\'s very revealing. Some influential people would rather \'cross out\' #Ukraine.""']"
63,24,63_corridors_creation_cross urgently_ukraine asks,"['corridors', 'creation', 'cross urgently', 'ukraine asks', 'urgently assist', 'humanitarian corridors', 'asks', 'urgently', 'corridors ukraine', 'committee red']","['#Ukraine asks the International Committee of the Red Cross to urgently assist in the creation of humanitarian corridors.', '#Ukraine asks the International Committee of the Red Cross to urgently assist in the creation of humanitarian corridors. Via', '#Ukraine asks the International Committee of the Red Cross to urgently assist in the creation of humanitarian corridors - via']"
64,23,64_sumy_indian_indian embassy_embassy,"['sumy', 'indian', 'indian embassy', 'embassy', 'escorting', 'buses left', 'buses', 'embassy amp', 'convoy', 'evacuated']","['A convoy consisting of 12 buses left frm #Sumy, #Ukraine today All Indians there have been evacuated. Officials of d Indian Embassy &amp; Red Cross are escorting them Bangladeshis &amp; Nepalis hb also been facilitated. They are currently enroute to Poltava region #OperationGanga', 'A convoy consisting of 12 buses left from #Sumy, #Ukraine earlier today. All Indians there have been evacuated. Officials of the Indian Embassy &amp; Red Cross are escorting them. Bangladeshis &amp; Nepalis have also been facilitated.', '#WATCH | A convoy consisting of 12 buses left from Sumy, Ukraine earlier today. All Indians there have been evacuated. Officials of the Indian Embassy &amp; Red Cross are escorting them. Bangladeshis &amp; Nepalis have also been facilitated. They are currently enroute to Poltava region.']"
65,23,65_satellite_imagery_mda_satellite imagery,"['satellite', 'imagery', 'mda', 'satellite imagery', 'canada', 'space', 'fight', 'providing', 'fight russia', 'track']","[""Providing #Ukraine with satellite imagery #Canada's satellite builder MDA Ltd. is providing near real-time satellite images to track Russian troop movements even at night or through cloud cover, Chief Executive Officer #MikeGreenley #MOG"", ""Canada's MDA providing #Ukraine with satellite imagery to fight #Russia"", ""CANADA'S MDA PROVIDING #UKRAINE WITH SATELLITE IMAGERY TO FIGHT #RUSSIA""]"
66,22,66_genocideofukrainians_russiaisaterroriststate genocideofukrainians_blind_russiaisaterroriststate,"['genocideofukrainians', 'russiaisaterroriststate genocideofukrainians', 'blind', 'russiaisaterroriststate', 'ukraine genocideofukrainians', 'russianwarcrimesinukraine', 'standwithukraine atacms', 'warcrimes standwithukraine', 'russiaisaterroriststate russianwarcrimesinukraine', 'atacms ukraine']","['are you blind? #RussiaIsATerroristState #GenocideOfUkrainians #ArmUkraineNow #F16forUkraine #ATACMSForUkraine #MoreHimarsForUkraine', 'are you blind? #RussiaIsATerroristState #GenocideOfUkrainians', '#RussiaIsATerroristState #GenocideOfUkrainians are you blind?']"
67,21,67_cross heads_heads mariupol_heads_mariupol russia,"['cross heads', 'heads mariupol', 'heads', 'mariupol russia', 'focus', 'mariupol redcross', 'gt', 'mariupol', 'talks resume', 'russia']","['Red Cross heads again for Mariupol as #Russia shifts #Ukraine focus', 'Red Cross heads again for Mariupol as #Russia shifts Ukraine focus', 'Red Cross heads again for Mariupol as Russia shifts Ukraine focus #Mariupol #RussianForces #Russia #Ukraine #QatarNews #QatarDay']"
68,20,68_solidarity_stand_slovenia_standwithukraine,"['solidarity', 'stand', 'slovenia', 'standwithukraine', 'stand solidarity', 'standwithukraine solidarity', 'standwithukraine stand', 'people ukraine', 'match', 'solidarity people']","['🔵At we stand in #solidarity with the #people of #Ukraine and would like to reaffirm our #support and #commitment. In face of these events, we have contributed with a donation to the International Red Cross organization to help those in need.', 'We stand in solidarity with the Ukrainian people at this most difficult time. The advice from charity organisations is monetary donations are most appropriate in supporting humanitarian efforts so, we have donated to the Red Cross Emergency Appeal. #StandWithUkraine', 'We stand in solidarity with all those affected by the conflict in Ukraine. To help support the immediate and ongoing relief efforts, Foresters is donating to the Ukraine Humanitarian Crisis Appeal and the . #StandWithUkraine']"
69,20,69_2cb_ket_help mariupol_rave,"['2cb', 'ket', 'help mariupol', 'rave', 'texas', 'bitcoin', 'dallas', 'mdma mda', 'psytrance', 'microdose']","['I believe ketamine gives us the power to access the command prompt of our mind #ket #K #acid #psytrance #rave #anxiety #hippie #wook #NFT #depressuon #tolerance #fwm #2cb #mda #ayahuasca #ego #texas #plug #usps #bitcoin #usa #festivals #molly', 'Fully loaded 😬💯✈️ #mdma #mda #ket #K #coke #ice #snow #plug #percs #molly #2cb #pills #NFT #psychedelicart #dallas #houston #texas #ayahuasca #microdose #rave #drugs #usa #newyork #usps #austin #dmt #dmtcart #chicago #phoenix #weed #tbt #shaman #Bitcoin #love', ""Some high quality crystals for y'all #mdma #mda #ayescaline #mescaline #microdose #ket #rave #2cb #psytrance #deadheads #usa #uk #australia #psychedelics #NFT #texas #dallas #bitcoin #crystal #canada #tolerance #dallasplug #caliplug""]"
70,20,70_property_crimea_russian red_cross steals,"['property', 'crimea', 'russian red', 'cross steals', 'steals', 'ukrainian children', 'stole', 'children', 'kuleba', 'federation']","['🇺🇦 In Crimea, the Russian Red Cross stole Ukrainian property #news #TSN #ukraine #mostshared', 'Russian Red Cross steals property from Ukrainian Red Cross in Crimea | Ukrainska Pravda #Ukraine #UkraineRussiaWar #UkraineUnderAttack #UkraineWarNews', '#Russian Red Cross steals property from Ukrainian Red Cross in #Crimea']"
71,19,71_genevaconventions_rules war_rules_conventions,"['genevaconventions', 'rules war', 'rules', 'conventions', 'geneva', 'geneva conventions', 'ihl', 'war', 'ukraine genevaconventions', 'law']","[""Rules of war - shouldn't occur in the first place - primer on Geneva Conventions. #UkraineRussianWar"", 'Rules of #war: Why they matter? | \u2066 \u2069 The rules of war are universal. The Geneva Conventions (which are the core element of IHL) have been ratified by all 196 states. Very few international treaties have this level of support. #StopPutinNOW', 'Geneva Conventions aka the Rules of War #GenevaConventions #icrc #RedCross #Ukraine️']"
72,19,72_russiaisaterrorisstate icrc_existence_icrc_essence,"['russiaisaterrorisstate icrc', 'existence', 'icrc', 'essence', 'capability', 'security', 'really save', 'waste money', 'russiaisaterrorisstate', 'waste']","[""Russia tortured and executed Ukrainian POW, who were given security guarantees by the UN and the ICRC. React? Any! The UN and the ICRC are absolutely useless organizations that, with their traditional inactivity, encourage Russia's war crimes. #russiaisaterrorisstate #un #ICRC"", 'What is the essence of the existence of UN and ICRC? Why do you exist to waste our money? When are you finally going to do your job and REALLY SAVE LIVES? #saveazovstaldefenders #olenivka2972022 #russiaisaterroriststate', 'What is the essence of the existence of UN and ICRC? Why do you exist to waste our money? When are you finally going to do your job and REALLY SAVE LIVES? #russiaisaterrorisstate #saveazovstaldefenders #olenivka29072022']"
73,19,73_boxes_bunker_chechen_currency,"['boxes', 'bunker', 'chechen', 'currency', 'nationalists', 'driven', 'guard', 'entered', 'national guard', 'chechens']","['‼️‼️ 🇷🇺🇺🇦🇺🇸🇬🇧In the bunker where the Ukr nationalists were driven out and where the National Guard of Chechen origin, The Rosgvardia entered, foreign currency was found in the boxes of the International Red Cross ❌ #RussianUkrainianWar', '🇷🇺🇺🇦🇺🇸🇬🇧In the bunker where the nationalists were driven out and where the National Guard of Chechen origin entered, foreign currency was found in the boxes of the ICRC Why do Ukranians have boxes of American dollars? #Corruption #Ukraine #CIA #StandwithUkraine', '🇷🇺🇺🇦🇺🇸🇬🇧In the bunker where the nationalists were driven out and where the National Guard of Chechen origin entered, foreign currency was found in the boxes of the ICRC #UkraineRussianWar #Ukraine #Russia #แตงโม #กระติก #']"
74,19,74_dam_kakhovka_zelensky_shocked,"['dam', 'kakhovka', 'zelensky', 'shocked', 'volodymyr', 'zelenskiy', 'failure', 'president', 'kakhovka dam', 'president volodymyr']","['Zelenskiy steps up criticism of International Red Cross over inaction at Kakhovka dam (Analysis) #UkraineRussiaWar #Ukraine #Zelensky #Putin #Kakhovka', '#Ukraine Ukrainian President Volodymyr Zelensky said on Wednesday he was ""shocked"" at what he said was the failure of the United Nations and the Red Cross to provide help after the destruction of the massive Kakhovka dam. -JP', 'Ukrainian President Volodymyr #Zelensky said on Wednesday he was ""shocked"" at what he said was the failure of the United Nations and the Red Cross to provide help after the destruction of the massive Kakhovka dam.']"
75,18,75_humanitarian corridors_corridors_start mission_mission ukraine,"['humanitarian corridors', 'corridors', 'start mission', 'mission ukraine', 'corridors civilians', 'need humanitarian', 'start', 'mission', 'corridors ukraine', 'ukraine evacuate']","['Please start your mission in Ukraine!!! Humanitarian corridors are a must for civilians! #IHL #SaveUkraine #StopPutinNOW #StopRussia #StopRussianAggression #SlavaUkraini', 'Please start your mission in Ukraine!!! Humanitarian corridors are a must for civilians! #IHL #SaveUkraine #UkraineUnderAttaсk #UkraineWar', 'Please start your mission in Ukraine!!! Humanitarian corridors are a must for civilians! #IHL #SaveUkraine #StopRussianAggression #StopPutin']"
76,18,76_mines_evacuation route_route_mariupol mines,"['mines', 'evacuation route', 'route', 'mariupol mines', 'route offered', 'humanitarian corridor', 'offered', 'prepared', 'corridor', 'mined']","['The International Red Cross has confirmed that the “humanitarian corridor” prepared by Russia for civilians from #Mariupol was full of mines. #Russia was preparing a massacre. This is the genocide of #Ukrainians!', '❗BREAKING: The International Red Cross has confirmed that the “humanitarian corridor” prepared by #Russia for civilians from #Mariupol was full of mines.', 'BREAKING: The International Red Cross has confirmed that the “humanitarian corridor” prepared by #Russia for civilians from Mariupol was full of mines. #Ukraine']"
77,18,77_candles_joe_flag_ukrainian flag,"['candles', 'joe', 'flag', 'ukrainian flag', 'soap', 'donated ukrainian', 'colors ukrainian', 'colors', 'profits donated', 'ukraine ukrainian']","['Please help the Ukrainian people 🇺🇦 Hockey Joe has made up a new batch of candles in the colors of the Ukrainian flag. 100% of the profits will be donated to the Ukrainian Red Cross. PLEASE HELP ➡️ #Ukraine #ukrainian #candles #StandWithUkriane', 'Please help the Ukrainian people 🇺🇦 Hockey Joe has made up a new batch of candles in the colors of the Ukrainian flag. 100% of the profits will be donated to the Ukrainian Red Cross PLEASE HELP ➡️ #Ukraine #ukrainian #candles #StandWithUkriane #UkraineWar', 'Please help the Ukrainian people 🇺🇦 Hockey Joe has made up a new batch of candles in the colors of the Ukrainian flag 100% of the profits will be donated to the Ukrainian Red Cross PLEASE HELP ➡️ #Ukraine #ukrainian #candles #StandWithUkriane #UkraineWar']"
78,18,78_standwithukraine_chefsforukraine_standwithukraine unitedwithukraine_standwithukraine stopwarinukraine,"['standwithukraine', 'chefsforukraine', 'standwithukraine unitedwithukraine', 'standwithukraine stopwarinukraine', 'unitedwithukraine', 'bucha', 'thanks', 'cross standwithukraine', 'company', 'stopwarinukraine']","['JJapanese food company Nisshin announced that it will provide 100,000 cup noodles free of charge through the local Red Cross to those who have been evacuated to neighboring countries in Ukraine due to an attack by the Russian army. ..... #StandWithUkraine #FreeUkraine #StopPutin', 'We do not see determination and concrete actions from Red Cross, we should look for new lines of cooperation, - Zelensky - #WarInUkraine #StandWithUkraine', 'The Red Cross makes it to #Bucha Many thanks to them for their endless compassion #ChefsForUkraine #Ukraine #StandWithUkraine #UnitedWithUkraine']"
79,18,79_ifrc_ifrc rt_rt_network,"['ifrc', 'ifrc rt', 'rt', 'network', 'come', 'ukraine come', 'meet needs', 'helping families', 'vast', 'volunteers helping']","['ifrc RT : ""Volunteering is from the heart."" Dobre, a team member, has been working long days to make sure families fleeing #Ukraine feel welcome. Here, he stands in a medical tent offering care to refugees. — IFRC ( ) A…', ': RT : Emergency response is a team effort. Volunteers helping families from #Ukraine come from near and far. Our vast network means #RedCross and #RedCrescent teams from all over the world work together to meet the needs of …', 'ifrc RT : Emergency response is a team effort. Volunteers helping families from #Ukraine come from near and far. Our vast network means #RedCross and #RedCrescent teams from all over the world work together to meet the needs of vulnerable people. #Stronger…']"
80,18,80_syria_turkeysyriaearthquake_turkey_earthquake,"['syria', 'turkeysyriaearthquake', 'turkey', 'earthquake', 'red crescent', 'crescent', 'turkey syria', 'rubble', 'syria_earthquake', 'syria amp']","['Iranian Red Crescent rescuers managed to pull three people out of the rubble alive in the earthquake-stricken areas of Turkey. Seven other people were also pulled out from under the rubble, who unfortunately had lost their lives. #Iran #Syria #TurkeySyriaEarthquake', '#TurkeySyriaEarthquake: if you want to donate to the #earthquake victims in #Turkey #Syria &amp; #Rojava, our sisters in Rojava shared this trusted source. Kurdish Red Crescent paypal: #depremhatay #earthquakeinturkey #EarthquakeRelief #Heyvasor', 'International Federation of Red Cross and Red Crescent Societies earthquake page: Aid for Turkey: Aid for Syria: #Syria_earthquake #TurkeyEarthquake #TurkeySyriaEarthquake #TurkeySyriaEarthquake2023']"
